,text,language,detected_language
667,Willy nilly,English,en
668,Cold comfort,English,en
669,Abracadabra,English,en
670,Out of the mouths of babes and sucklings,English,en
671,Plates of meat,English,en
672,As happy as Larry,English,en
673,Dog's breakfast,English,en
674,Catbird seat - In the,English,en
675,Binge drinking,English,en
676,Survival of the fittest,English,en
677,Ginger up,English,en
678,Piece of cake - A,English,en
679,Boss eyed,English,en
680,Spend a penny,English,en
681,Sixes and sevens - At,English,en
682,Horse and cart,English,en
683,One-hit wonder,English,en
684,Paint the town red,English,en
685,Bells and whistles,English,en
686,Dit help nie om in die dooie kole te blaas nie. Jy blaas hul net kouer en jou oë vol as.,Afrikaans,af
687,The - unkindest cut of all,English,en
688,Tomorrow is another day,English,en
689,Cock-sure,English,en
690,"Sou daar ‘n weersien wees, of is ons verdoem tot verpulwerde deeltjies van eens warm vlees.",Afrikaans,af
691,Pie - as easy as,English,en
692,No dice,English,en
693,So tussen die by en die koek.,Afrikaans,af
694,One for the road,English,en
695,"Bid vir ‘n goeie oes, maar hou aan werk.",Afrikaans,nl
696,Die kwaaikind moet uitgebrand word.,Afrikaans,nl
697,Dit ruik na geld.,Afrikaans,nl
698,Up in arms,English,en
699,Hear hear,English,en
701,He who laughs last laughs longest,English,en
702,Jors het al weer gestook.,Afrikaans,nl
703,Gridlock,English,en
704,Gregory Peck,English,en
705,Lay it on with a trowel,English,en
706,Liefde maakt blind.,Nederlands,nl
707,No room to swing a cat,English,en
708,One stop shop,English,en
709,The Yellow Peril,English,en
710,Real McCoy,English,en
712,As armoede by die voordeur inkom gaan liefde by die agterdeur uit.,Afrikaans,af
713,Chop-chop,English,en
714,For whom the bell tolls,English,en
715,On the warpath,English,en
716,Economical with the truth,English,en
717,Wrong end of the stick - The,English,en
718,Flash in the pan,English,en
719,‘n Pot vol goud.,Afrikaans,nl
720,Hot off the press,English,en
721,Norange - A,English,en
722,With bells on,English,en
723,Jack Palancing,English,en
724,Age before beauty,English,en
725,Fall from grace,English,en
726,Let there be light,English,en
727,‘n Graaf was my pen en die grond was my boek.,Afrikaans,nl
728,Dressed to the nines,English,en
729,In the twinkling of an eye,English,en
730,Achilles' heel,English,en
731,Movers and shakers,English,en
732,You can lead a horse to water but you can't make it drink,English,en
733,Tongue in cheek,English,en
734,Screw your courage to the sticking place,English,en
735,Far be it from me,English,en
736,Read the riot act,English,en
737,Get off on the wrong foot,English,en
738,Preaching to the choir,English,en
739,Hy is in hart en niere ‘n Bok-ondersteuner.,Afrikaans,af
740,Hy staan op die dak.  – ingestuur deur June Edwards,Afrikaans,af
741,"No way, Jose",English,en
742,Nothing is certain but death and taxes,English,en
743,"As jy geluk wil vind en soek, sal jy dit kry, soos die ou dame haar bril – al die tyd veilig op haar neus…",Afrikaans,af
744,A load of codswallop,English,en
745,Hit the ground running,English,en
746,Go over like a lead balloon,English,en
747,Bob's your uncle,English,en
748,Left in the lurch,English,en
749,Many are called but few are chosen,English,en
750,Belt and braces,English,en
751,A fish out of water,English,en
752,Sweet Fanny Adams,English,en
753,Action man,English,en
754,Ek kon my weldade dikker gesaai het en hulle sou mekaar nie verdring het nie.,Afrikaans,af
755,Julius se gesante en trawante raak al minder.,Afrikaans,nl
756,Wat laat oom Japie weer die grootsê so hoog uit die takke haal?,Afrikaans,nl
757,Wick - you get on my,English,en
758,Bad egg,English,en
759,Put a sock in it,English,en
760,Om groot te skrik is soms meer werd as goeie raad.,Afrikaans,nl
761,Hard cheese,English,en
762,Sod's Law,English,en
763,Below the belt,English,en
764,Ducks and drakes,English,en
765,Security blanket,English,en
766,Dit gaan jou blikkies.,Afrikaans,af
767,Gussied-up,English,en
768,The balance of power,English,en
769,Charley horse,English,en
770,The game is up,English,en
771,"Seks is soos jou salaristjek, mens praat nie regtig daaroor nie, want netnou kry die ander ou meer as jy.",Afrikaans,af
772,Absent without leave,English,en
773,My cup of tea,English,en
774,Let a thousand flowers bloom,English,en
775,The salt of the earth,English,en
776,Hy dink hy is die goewerneur se hond se oom.,Afrikaans,af
777,Hy is ‘n geldwolf.,Afrikaans,af
778,Happy as a clam,English,en
779,Like two peas in a pod,English,en
780,The course of true love never did run smooth,English,en
781,In the limelight,English,en
782,Die laaitie se hakskene word rooi.,Afrikaans,af
783,Peter out,English,en
784,Het jy al jou bakkies geskottel?,Afrikaans,af
785,Hissy fit,English,en
786,Done to a turn,English,en
787,The seven-year itch,English,en
788,Sacred cow,English,en
789,Moenie die krag onderskat van dom mense in groot getalle nie.,Afrikaans,af
790,Cock and bull story,English,en
791,"As die hemel val, is ons almal dood.",Afrikaans,af
792,To the manner born,English,en
793,Counting sheep,English,en
794,Take with a grain of salt,English,en
795,Excuse my French,English,en
796,"As jy daaroor kan lag, kan jy daarmee saamleef.",Afrikaans,af
797,Dis klaar Hel op aarde om met ‘n goeie vrou getroud te wees – wat nog te sê met ‘n slegte vrou!,Afrikaans,af
798,'n Ou bok hou van jong blare.,Afrikaans,uz
799,Onder iemand se duiwe skiet.,Afrikaans,af
800,High horse - get off your,English,en
801,Scott (Sir Walter - phrases coined by),English,en
802,So bang soos ‘n haas vir ‘n hond.,Afrikaans,af
803,The whole shebang,English,en
804,Het regent pijpenstelen,Nederlands,nl
805,Bee-line - make a bee-line for,English,en
806,Cook the books,English,en
807,Hy is meer verward as ‘n bergie onder huisarres.,Afrikaans,af
808,The tail wagging the dog,English,en
809,High on the hog,English,en
810,Fuddy-duddy,English,en
811,At loggerheads,English,en
812,Kettle of fish,English,en
813,Play fast and loose,English,en
814,Wear the trousers,English,en
815,The buck stops here,English,en
816,Eat drink and be merry,English,en
817,"Ars longa, vita brevis",English,la
818,Mexican wave,English,en
819,Elvis has left the building,English,en
820,Fine words butter no parsnips,English,en
821,Balance of trade - The,English,en
822,Diamond is forever - A,English,en
823,Grandfather clock,English,en
824,Bee's knees - The,English,en
825,Toffee-nosed,English,en
826,Date rape,English,en
827,Die-hard,English,en
828,Hy het ‘n aap op sy rug.,Afrikaans,af
829,Many a little makes a mickle,English,en
830,Pull yourself up by your bootstraps,English,en
831,Knock off,English,en
832,Basket case,English,en
833,Channel surfing,English,en
834,"If you think that, you have another think coming",English,en
835,Bag and baggage,English,en
836,Je bent nooit te oud om te leren,Nederlands,nl
837,Dog days,English,en
838,"Between you, me and the bed-post",English,en
839,Lager frenzy,English,en
840,Lie low,English,en
841,Finagle's Law,English,en
842,Gemoedskalmte en beheersug sit nie in dieselfde leunstoel nie.,Afrikaans,af
843,"O ye, of little faith",English,en
844,Daardie ou mannetjie is darem maar ‘n kapoevaproppie.,Afrikaans,af
845,High-flyer,English,en
846,"As petrol en vuur bymekaar kom, brand dit en as mis en donderweer bymekaar kom. reën dit.",Afrikaans,af
847,Which witch is which?,English,en
848,Spare the rod and spoil the child,English,en
849,Laugh like a drain,English,en
850,Lo and behold,English,en
851,Grond vreet.,Afrikaans,af
852,"Dit verg meer moed om te ly, as om te sterf.",Afrikaans,nl
853,Queer as a nine bob note,English,en
854,Chalk and cheese,English,en
855,Ek sal jou opkoffie as jy sê my span speel sleg.,Afrikaans,af
856,Hands down,English,en
857,Place for everything and everything in its place - A,English,en
858,Stranger danger,English,en
859,Battle royal,English,en
860,"Rag, tag and bobtail",English,en
861,Onder die besemstok staan.,Afrikaans,af
862,Twenty four seven,English,en
863,Ek verwonder my dat daardie sterk vrou so skielik dood is en daardie siek man so lank leef….,Afrikaans,af
865,Cat got your tongue?,English,en
866,Like it or lump it,English,en
867,Bezint eer gij begint.,Nederlands,nl
868,How are the mighty fallen?,English,en
869,A foot in the door,English,en
870,Die plaas is nie ‘n koei wat in die hemel kos kry en op aard gemelk kan word nie.,Afrikaans,af
871,Spruce-up,English,en
872,Go whole hog,English,en
873,Whole nine yards - The,English,en
874,Bee in your bonnet,English,en
875,On the button,English,en
876,Die has been cast - The,English,en
877,Beat the living daylights out of someone,English,en
878,Take the cake,English,en
879,Wag tot Letjie kom.,Afrikaans,af
880,Four by two,English,en
881,Nip in the bud,English,en
882,Die berg het ‘n muis gebaar.,Afrikaans,nl
883,Hunt and peck,English,en
884,Hy is op die afdraand met sy briek los.,Afrikaans,af
885,Woe betide you,English,en
886,Te laat vir sy eie begrafnis wees.,Afrikaans,af
887,Run out of steam,English,en
888,Loved-up,English,en
889,Back to basics,English,en
890,The pip - Get/got/have,English,en
891,Happy clappy,English,en
892,Die mens met min woorde se solder is so klein dat daar nie plek vir kaf is nie.,Afrikaans,af
893,"Geld is kleurblind, maar terselfdertyd uiters sensitief vir politike uitsprake.",Afrikaans,af
894,Hy is ‘n wolf in skaapklere.,Afrikaans,af
895,Beware the Ides of March,English,en
896,Not my cup of tea,English,en
898,Too much of a good thing,English,en
899,Riff-raff,English,en
900,Spitting feathers,English,en
901,Moenie oor my treur nie – wees bly dat ek eens hier was.,Afrikaans,af
902,Market forces,English,en
903,Indian summer,English,en
904,The balance of trade,English,en
905,Above board,English,en
906,Is the Pope Polish?,English,en
907,Better to have loved and lost than never to have loved at all,English,en
908,Plain sailing,English,en
909,Things that go bump in the night,English,en
910,"Wonder waar was Jors en sy meisie gisteraand, sy het al weer kruipknietjies.",Afrikaans,af
911,My giddy aunt,English,en
912,"Uit het oog, uit het hart.",Nederlands,nl
913,Jy hou jou rammetjie-uitnek.,Afrikaans,af
914,Hy het kaplaks van die stoel af geval.,Afrikaans,af
915,Spelling-bee,English,en
916,By and large,English,en
917,Gebraaide duiwe vlieg niemand in die mond nie.,Afrikaans,af
919,Penny saved is a penny earned - A,English,en
920,That's all she wrote,English,en
921,"Die belangrikste eienskap wat ‘n jong meisie moet openbaar, is blymoedigheid in haar lewensuitkyk.",Afrikaans,af
922,Vir g’n geld of goeie woorde te kry nie.,Afrikaans,af
923,For all intents and purposes,English,en
924,"As die muis dik is, is die kaas bitter.",Afrikaans,nl
925,Go berserk,English,en
926,Whole-hearted,English,en
927,Jors praat al weer Engels.,Afrikaans,nl
928,Women and children first,English,en
929,Drink like a fish,English,en
930,(The) order of the boot,English,en
931,Without let or hindrance,English,en
932,Give a man a fish and you will feed him for a day,English,en
933,Nest-egg,English,en
934,‘n Blinde hoender vind ook ‘n korreltjie.,Afrikaans,af
935,Preposterous,English,en
936,"“Pasop vir Chantel, sy brand die kookwater”.",Afrikaans,af
937,Draai jou mantel na die wind.,Afrikaans,af
938,Necessity is the mother of invention,English,en
939,Labour of love,English,en
940,Butter wouldn't melt in his mouth,English,en
941,To big for your breeches,English,en
942,"Eind goed, al goed.",Nederlands,nl
943,Air quotes,English,en
944,Jou brandewyn bloots drink.,Afrikaans,af
945,All publicity is good publicity,English,en
946,"Romeo, Romeo, wherefore art thou Romeo?",English,en
947,Panic stations,English,en
948,Pommy bashing,English,en
949,Get on my wick,English,en
950,For all intents and purposes,English,en
951,No man is an island,English,en
952,Die meisies by Tukkies is gek oor mieliestamp.,Afrikaans,af
953,Exception that proves the rule - The,English,en
954,P.D.Q. - pretty damn quick,English,en
955,Bane of your life,English,en
956,Bad hair day,English,en
957,Less is more,English,en
958,In the bag,English,en
959,"The ants are my friends, they're blowing in the wind",English,en
960,It came like a bolt from the blue,English,en
961,The bane of my life,English,en
962,Hy groei deur sy hare.,Afrikaans,af
964,"To sleep: perchance to dream: ay, there's the rub",English,en
965,An Englishman's home is his castle,English,en
966,Dis nou druiwe na die Boland stuur.,Afrikaans,af
967,Love is blind,English,en
968,Cliff-hanger,English,en
969,Put paid to,English,en
970,No more cakes and ale?,English,en
971,Come up trumps,English,en
972,"Jack of all trades, master of none",English,en
973,A woman needs a man like a fish needs a bicycle,English,en
974,Happy slapping,English,en
975,Word in your shell-like - A,English,en
976,Alte goed is buurmansgek.,Afrikaans,nl
977,Shakers and movers,English,en
978,Jy hou jou latjiesbeen by ‘n meisie.,Afrikaans,af
979,Ne'er do well,English,en
980,Brandewyn raas as dit uit die vat uit kom.,Afrikaans,af
981,Met geweld kan mens jou duim in jou hol afbreek.,Afrikaans,af
982,Turn a blind eye,English,en
983,Shit for brains,English,en
984,"Die lewe het my leer dink, maar die dink het my nie leer leef nie.",Afrikaans,af
985,"Something old, something new, something borrowed, something blue",English,en
986,Five o'clock shadow,English,en
987,Hoe bewierook hy nou sy baas.,Afrikaans,af
988,Stand up guy,English,en
989,Go and boil your head,English,en
990,Against the grain,English,en
991,Curiosity killed the cat,English,en
992,"Ek sien die veld, die Bosse, Berge, Vlakte. Ek hoor hoe fluister grasse, stroom en wind. O Heer, U sorg vir klein, vir groot, vir alles en U sorg dag na dag vir my, U kind.",Afrikaans,af
993,Eers grootmense en dan langore.,Afrikaans,af
994,Bought the farm,English,en
995,Horse feathers,English,en
996,Fell swoop - At one,English,en
997,Bread always falls buttered side down,English,en
998,You can't get blood out of a stone,English,en
999,’n Gedurige gedrup maak ’n gat in ’n klip.,Afrikaans,af
1000,Alle wegen leiden naar Rome.,Nederlands,nl
1002,Well heeled,English,en
1003,Die doodskleed het geen sakke nie.,Afrikaans,af
1004,Absence makes the heart grow fonder,English,en
1005,Sy hempie is kort.,Afrikaans,en
1006,Cut of your jib - The,English,en
1007,Main chance,English,en
1008,Silly season,English,en
1009,Je moet de vieze was niet buiten hangen.,Nederlands,nl
1010,Lose your marbles,English,en
1011,Barking up the wrong tree,English,en
1012,Homonyms,English,en
1013,All things come to he who waits,English,en
1014,Birds of a feather flock together,English,en
1015,Warts and all,English,en
1016,Geld wat stom is maak reg wat krom is.,Afrikaans,nl
1017,Baby blues,English,en
1018,Spill the beans,English,en
1019,Buckle down,English,en
1020,Hobby-horse,English,en
1021,The birds and the bees,English,en
1022,Vir kwaadgeld rondloop.,Afrikaans,af
1023,Dog in the manger,English,en
1024,As white as snow,English,en
1025,Geld uit iemand se sak jaag.,Afrikaans,nl
1026,Vanish into thin air,English,en
1027,First World,English,en
1028,Sit die babatjie op iemand anders se drumpel.,Afrikaans,af
1029,A fish rots from the head down,English,en
1030,Dark horse,English,en
1031,The cut of your jib,English,en
1032,Leopard cannot change its spots - A,English,en
1033,Fools' gold,English,en
1034,Go haywire,English,en
1035,"Agter die kruis, staan altyd die duiwel.",Afrikaans,af
1037,Hy het rooimiere.,Afrikaans,af
1038,Fair to middling,English,en
1039,Clog up,English,en
1040,As keen as mustard,English,en
1041,Die lewe is nie net swart en wit nie.,Afrikaans,af
1042,A bunch of fives,English,en
1043,I see you stand like greyhounds in the slips,English,en
1044,Greased lightning,English,en
1045,"‘n Land wat vir sy landbou sorg, sorg vir sy volhoubare toekoms.",Afrikaans,af
1046,Sy doen die canyon tango.,Afrikaans,af
1047,Grist to the mill,English,en
1048,"Moenie die beer se vel verkoop, voordat hy geskiet is nie.",Afrikaans,af
1049,Foot of our stairs - The,English,en
1050,Short shrift,English,en
1051,Get the pip,English,en
1052,Plague on both your houses - A,English,en
1053,If the cap fits,English,en
1054,For ever and a day,English,en
1055,Zero tolerance,English,en
1056,Body - phrases related to the human body,English,en
1057,Topsy-turvy,English,en
1058,Tall story,English,en
1059,Red-handed (caught),English,en
1060,Winter drawers on,English,en
1061,On the wagon,English,en
1062,Saartjie soen.,Afrikaans,af
1064,A rolling stone gathers no moss,English,en
1065,Blow a raspberry - see raspberry tart,English,en
1066,Go pound sand,English,en
1067,An offer he can't refuse,English,en
1068,A woman's place is in the home,English,en
1069,The Devil Incarnate,English,en
1070,Freezing temperatures,English,en
1071,The last straw,English,en
1072,The female of the species is more deadly then the male,English,en
1073,Break the ice,English,en
1074,I'm stumped,English,en
1075,“Sy praat mos so onder haar asem. ”,Afrikaans,af
1076,Pigs might fly,English,en
1077,"Klein diewe het ysterkettings, groot diewe goue kettings.",Afrikaans,af
1078,There is no alternative,English,en
1079,Kilroy was here,English,en
1080,Aga saga,English,es
1081,"If wishes were horses, beggars would ride",English,en
1082,Nul points,English,fr
1083,Teenspoed ontlont talente wat in voorspoed dormant sou bly.,Afrikaans,af
1084,Plooie pyn nie.,Afrikaans,af
1085,Countenance more in sorrow than in anger - A,English,en
1086,Hy is met sy broek op sy enkels betrap.,Afrikaans,af
1087,Set one's cap at,English,en
1088,Fancy pants,English,en
1089,Jy steek jou kop in 'n bynes.,Afrikaans,af
1090,Say cheese,English,en
1091,Rhyme nor reason,English,en
1092,"Waar bloed nie kan kruip nie, loop dit.",Afrikaans,af
1093,Die botter het alleen geslaap.,Afrikaans,af
1094,Make haste,English,en
1095,"(An) eye for an eye, a tooth for a tooth",English,en
1096,(Take with a) pinch of salt,English,en
1097,Honesty is the best policy,English,en
1098,Caught by the short hairs,English,en
1100,Short end of the stick - The,English,en
1101,Whipping boy,English,en
1102,"Hoe groter gees, hoe groter bees.",Afrikaans,nl
1103,Shambles,English,en
1104,Woman needs a man like a fish needs a bicycle - A,English,en
1105,Maak jou vriendelikheid goedkoop en hou jou vriendskap duur.,Afrikaans,af
1106,Pick 'n' mix,English,en
1107,Tinker's dam,English,en
1108,Weasel words,English,en
1109,I will swing for you,English,en
1110,"Stuur die luiaard na die mier en as hy nie te lui is om te gaan nie, sal hy te lui wees om terug te kom.",Afrikaans,af
1111,Ons  se geheim: Aanpasbaarheid.,Afrikaans,nl
1112,(Coming in) on a wing and a prayer,English,en
1113,Run amok,English,en
1114,The shot heard 'round the world,English,en
1115,Daai manne by die spele ry toe-speek!,Afrikaans,af
1116,Lame duck,English,en
1117,Sy vertel hom waar die bus stop.,Afrikaans,af
1118,Al fresco,English,es
1119,Hou op sit op my hakke.,Afrikaans,af
1120,“Die beste vakansie is die een waar die vrouens byt en die muskiete nie.”,Afrikaans,af
1121,Drummed out of the army,English,en
1122,Hy is Jan Salie vanuit die Wag- 'n-bietjie- bosse.,Afrikaans,af
1123,Foam at the mouth,English,en
1124,The apple of my eye,English,en
1125,Mud - your name is,English,en
1126,Bottom drawer,English,en
1127,Technicolor yawn,English,en
1128,Jerry built,English,en
1129,Shot heard 'round the world - The,English,en
1130,Jimmy Horner,English,en
1131,Die kreeftegang van agteruitgaan.,Afrikaans,af
1132,Die aarde is toe te koud vir hom om op te trap. .,Afrikaans,af
1133,Butterfingers,English,en
1134,Daft as a brush,English,en
1135,In my minds eye,English,en
1136,"Dit is maklik gesê, maar die eend lê die eier.",Afrikaans,af
1137,Op iemand se dak afklim.,Afrikaans,nl
1138,Tuckered out,English,en
1139,A sorry sight,English,en
1140,In stitches,English,en
1141,Ménage à trois,English,fr
1142,Come a cropper,English,en
1143,Cock-a-hoop,English,en
1144,Ticked off,English,en
1145,As dead as a dodo,English,en
1146,Four corners of the earth,English,en
1147,Tempest in a teapot,English,en
1148,Jou roes uitslaap.,Afrikaans,af
1151,Upset the apple-cart,English,en
1152,As different as chalk and cheese,English,en
1153,Allemansvriend is niemandsvriend.  http://goo.gl/SddnQ,Afrikaans,nl
1154,Gert Erf is Gert Swerf.,Afrikaans,en
1155,Over the top,English,en
1156,Hy is maar onder die belt.,Afrikaans,af
1157,Die baas knor weer vanmôre soos ‘n muishond met ‘n seer bal.,Afrikaans,af
1158,Whole shebang - The,English,en
1159,Trick or treat,English,en
1160,Put your back up,English,en
1161,Shaggy dog story,English,en
1162,Squeaky bum time,English,en
1163,Kiss me Hardy,English,en
1164,Till the cows come home,English,en
1165,‘n Stuiwer in die armbeurs gooi.,Afrikaans,af
1166,The fly in the ointment,English,en
1167,Buck stops here - The,English,en
1168,Old as Methuselah,English,en
1169,Hy hou van op die lawaaiwa klim.,Afrikaans,af
1170,Top notch,English,en
1171,Beyond our ken,English,en
1172,We know where you live,English,en
1173,Gee die duiwel wat hom toekom - hy slyp al lank genoeg aan sy steen.,Afrikaans,af
1174,Richard the Third,English,en
1175,Beelzebub has a devil for a sideboard,English,en
1176,Crop up,English,en
1177,Latin Phrases,English,en
1178,Sea change,English,en
1180,Jy kan nooit wen as jy ‘n saak met die Duiwel het en sy kantoor is in die Hel nie.,Afrikaans,af
1181,À la mode,English,fr
1182,The camera cannot lie,English,en
1183,Freeze the balls off a brass monkey - cold enough to,English,en
1184,Wild and woolly,English,en
1185,Fine as frog's hair,English,en
1186,So sue me,English,en
1187,Nth degree,English,en
1188,Brook no truck with,English,en
1189,Fifteen minutes of fame,English,en
1190,Die geld brand in sy sak.,Afrikaans,en
1191,Thus far into the bowels of the land,English,en
1192,"‘n Man se geld kan opraak, solank jou planne nie opraak nie.",Afrikaans,af
1193,No names: no pack-drill,English,en
1194,Cock-up,English,en
1195,Break a leg,English,en
1196,Filthy rich,English,en
1197,"Al is die ouer hoe arm, hy dek tog warm.",Afrikaans,af
1198,Thin air - Vanish into,English,en
1199,Fall on your sword,English,en
1200,Keep at bay,English,en
1201,Muren hebben oren.,Nederlands,nl
1202,Haven't got a clue,English,en
1203,Darkest hour is just before the dawn - The,English,en
1204,Moenie die boot skommel nie.,Afrikaans,af
1205,The usual suspects,English,en
1207,At sixes and sevens,English,en
1208,Ball and chain,English,en
1209,Pearls before swine,English,en
1210,Neither a borrower nor a lender be,English,en
1211,Hy is ganspen.,Afrikaans,af
1212,Box-seat - in the,English,en
1213,Chaise lounge,English,en
1214,San fairy Ann,English,en
1215,Old lang syne - see auld lang syne,English,en
1216,Volmaaktheid is altyd bereikbaar op ‘n kleinigheid na.,Afrikaans,af
1217,Sloane Ranger,English,en
1218,Jan Alleman in die straat is die segsman vir die ouens wat met hulle mond vol tande staan.,Afrikaans,af
1219,Sy ly aan bek-en-klouseer.,Afrikaans,af
1220,High time,English,en
1221,Popular fallacies - The Nonsense Nine,English,en
1222,Ons kyk tot die droogte kom en dan kyk ons almal hemel toe.,Afrikaans,af
1223,By die duiwel gaan bieg.,Afrikaans,af
1224,As dikmelk kaas geword het.,Afrikaans,af
1225,"As die pappot oorkook, maak dit ‘n gemors – ook van homself.",Afrikaans,af
1226,"Wie de schoen past, trekke hem aan.",Nederlands,nl
1227,Ne'er cast a clout till May be out,English,en
1228,The living daylights,English,en
1229,Go for a burton,English,en
1230,Pig's ear,English,en
1231,Old chestnut,English,en
1232,As pure as the driven snow,English,en
1233,Dollars to donuts,English,en
1234,Cast the first stone,English,en
1235,"Space, the final frontier",English,en
1236,Bread of life - The,English,en
1237,Win hands down,English,en
1238,At one fell swoop,English,en
1240,Fool's paradise - A,English,en
1241,Primrose path,English,en
1242,Tits up,English,en
1243,Die kar draai sommer hier rûens in die pad.  [‘n Sêding in Riversdal.],Afrikaans,de
1244,Shall I compare thee to a summer's day?,English,en
1245,Act of God,English,en
1246,Tie the knot,English,en
1248,The toast of the town,English,en
1249,Barge-pole - Wouldn't touch with a,English,en
1250,My better half,English,en
1251,Pot calling the kettle black - The,English,en
1252,Fits to a tee,English,en
1253,Beyond the pale,English,en
1254,Throw in the towel,English,en
1255,Ons werk kaal-voorlyf.,Afrikaans,af
1256,Lead-pipe cinch,English,en
1257,A drop in the bucket,English,en
1258,Haar hart lê op haar tong.,Afrikaans,nl
1259,Sy gesang is uit.,Afrikaans,af
1260,Out of the jaws of death,English,en
1261,Separate the sheep from the goats,English,en
1262,Chick flick,English,en
1263,Queer the pitch,English,en
1264,"Gert erf, is Gert swerf.",Afrikaans,en
1265,Genade het nie ‘n horing nie. [Dalk beter bekend as “Genade het nie horings nie”. 🙂 ],Afrikaans,af
1266,Hy is gesout teen masels.,Afrikaans,af
1267,On with the motley,English,en
1268,"Gesondheid in die rondheid, al die mooi meisies in die blomtyd.",Afrikaans,af
1269,Chop and change,English,en
1270,Take down a peg or two,English,en
1271,Daniel come to judgement,English,en
1272,You can lead a whore to culture but you can't make her think,English,en
1273,Surfing the Net/surfing the Internet/surfing the Web,English,en
1274,Eigen haard is goud waard.,Nederlands,nl
1275,Keen as mustard,English,en
1276,"Bell, book and candle",English,en
1277,Run rings around,English,en
1278,Ek voel bietjie kop-onder-die-vlerk.,Afrikaans,af
1279,Doom and gloom,English,en
1280,A rose is a rose is a rose,English,en
1281,Black-on-black,English,en
1282,Vir geen geld ter wêreld nie.,Afrikaans,af
1283,Burn the candle at both ends,English,en
1285,Donkey's years,English,en
1286,The bee's knees,English,en
1287,Englishman's home is his castle,English,en
1288,Clutch at straws,English,en
1289,Blood and thunder,English,en
1290,Star-crossed lovers,English,en
1291,Watch the birdie,English,en
1292,Sold down the river,English,en
1293,“Hier het een gesit en pikstele knyp.”  – ingestuur deur Lödveteig Nan,Afrikaans,af
1294,Fair play,English,en
1295,On queer street,English,en
1296,Hy het al harde korsies gebyt.,Afrikaans,af
1297,"Die lewe is soos ‘n “niggerball”. Hy breek jou tande, maar jy hou aan suig.",Afrikaans,af
1298,Clod-hopper,English,en
1299,For good measure,English,en
1300,Inside out,English,en
1301,Draw a blank,English,en
1303,Seven-year itch,English,en
1304,Smart casual,English,en
1305,The short end of the stick,English,en
1306,Beter een half ei dan een lege dop.,Nederlands,nl
1307,Cotton-picking,English,en
1308,A fate worse than death,English,en
1309,Blown to smithereens,English,en
1310,Daai klas wyn is nie vir ‘n man met ‘n dun kopvel nie.,Afrikaans,af
1311,(Beware the) Ides of March,English,en
1312,Climb on the bandwagon,English,en
1313,Come on down,English,en
1314,Sy trek holrug.,Afrikaans,af
1315,Little bird told me - A,English,en
1316,Hy het hier aangewaai gekom.,Afrikaans,af
1317,"To gild refined gold, to paint the lily",English,en
1318,Damp squib,English,en
1319,Harbinger of doom,English,en
1320,Die duiwel se briewe lees.,Afrikaans,af
1321,Laid out in lavender,English,en
1322,"Vriende is soos bottels medisyne. Jy moet hulle eers goed skud, voordat jy drink.",Afrikaans,af
1323,Innocent until proven guilty,English,en
1324,Fish rot from the head down,English,en
1325,Mense is meer begaan oor wat hulle weet as om te ontdek wat hulle nog nie weet nie!!,Afrikaans,af
1326,As happy as a sandboy,English,en
1327,Sy kan die agterbeen van ‘n donkie afpraat.,Afrikaans,af
1328,"Be afraid, be very afraid",English,en
1329,Magical realism,English,en
1330,Up shit creek without a paddle,English,en
1331,Special relationship,English,en
1332,Make no bones about,English,en
1333,Yellow-belly,English,en
1334,Physician heal thyself,English,en
1335,Arty-farty,English,en
1337,Yada yada,English,en
1338,Close your eyes and think of England,English,en
1339,Learn the ropes,English,en
1340,On the fiddle,English,en
1341,Land of nod - The,English,en
1342,Shut your cake-hole,English,en
1343,High five,English,en
1344,Salt of the earth - The,English,en
1345,"Jy kan nie met skoon hande modder gooi nie, nog minder met ‘n rein mond gif spoeg.",Afrikaans,af
1346,Bite the bullet,English,en
1347,Dit afklink.,Afrikaans,af
1348,Je moet geen oude koeien uit de sloot halen.,Nederlands,nl
1349,Sight for sore eyes (A),English,en
1350,The real McCoy,English,en
1351,‘n Skimp kan seerder maak as ‘n skop.,Afrikaans,af
1352,Excuse me while I kiss this guy,English,en
1353,Train surfing,English,en
1354,Quotations,English,en
1355,Daar is ‘n dief aan die kers.,Afrikaans,nl
1356,Gou op sy agterpote wees.,Afrikaans,af
1357,Cry havoc and let slip the dogs of war,English,en
1358,Cobblers - A load of,English,en
1359,Hocus pocus,English,en
1360,Die luiaard is die enigste man wat van sy slaap moet rekenskap gee.,Afrikaans,af
1361,Friend in need is a friend indeed - A,English,en
1362,Die Stormers moet nou opstaan uit daai lamrugby-groef waarin hulle verval het.,Afrikaans,af
1363,Better late than never,English,en
1364,Chock-a-block,English,en
1365,Name is mud,English,en
1366,Gemak ondermyn ‘n mens.,Afrikaans,af
1367,Test your mettle - see show your mettle,English,en
1368,Lions led by donkeys,English,en
1369,Hy is so los soos ‘n druiwetros.,Afrikaans,af
1370,Gry - Words ending in,English,en
1371,A sea change,English,en
1372,As the crow flies,English,en
1373,Catch 22,English,en
1374,Beter laat dan nooit.,Nederlands,nl
1375,"Wanneer jy dink dat jy onmisbaar is, moet jy ‘n emmer water neem, jou vuis en arm daarin druk en dan stadig uittrek. Die gat wat in die water oorbly, is die mate waarin jy gemis sal word.",Afrikaans,af
1376,Upper hand,English,en
1377,Infra dig,English,lv
